StoreId,CompleteStoreName,FoodType,AverageRating,Reviewers,City,HasReviews,RatingForAnalysis
a0ce,Marugame Udon - Lucky Chinatown Mall,Japanese,5.0,597,Manila,True,5.0
a0ci,Max Mango - Bluewave Marikina,Beverages,5.0,259,Marikina,True,5.0
a0cm,Flavors Lounge + Cafe - Nasipit Talamban,Coffee,0.0,0,Cebu City,False,
a0d1,Holy Eats! 24/7,Asian,5.0,104,Pasig City,True,5.0
a0gr,McDonald's - Ormoc,Fast Food,5.0,7190,Ormoc Leyte,True,5.0
a0h5,Cebu Ramen Bar - Pama Street,Ramen,0.0,0,Cebu City,False,
a0j0,All Wings - EDSA,Chicken,4.8,34,Mandaluyong City,True,4.8
a0mh,Sisig Marino at iba pa - Menzyland Maunlad Homes,Filipino,5.0,259,Malolos Bulacan,True,5.0
a0o6,FIC (Fruits in Ice Cream) - Pasig,Ice Cream,5.0,26,Pasig City,True,5.0
a0tg,Shakey's Pizza - Festival Mall,Pizza,4.9,313,Muntinlupa City,True,4.9
a0vm,MicroBurger - Arellano Street,Burgers,3.4,236,Dagupan Pangasinan,True,3.4
a0wx,Hex Coffee - McKinley West,Coffee,5.0,26,Taguig City,True,5.0
a15j,Koomi - Shangri-La,Beverages,5.0,92,Mandaluyong City,True,5.0
a18q,Starbucks - Torre Lorenzo Malate,Coffee,5.0,747,Manila,True,5.0
a18z,Angkol J Special Baked Biko - Guadalupe,Filipino,5.0,279,Cebu City,True,5.0
a1b2,DAKS Shawarma by Boys Night Out - Manila,Shawarma,4.9,133,Manila,True,4.9
a1cd,The Master Tea & Coffee - Putatan,Milk Tea,4.9,700,Muntinlupa City,True,4.9
a1dr,Cobo Tea - Mandaue,Milk Tea,5.0,1097,Cebu City,True,5.0
a1ed,Tomekichi Takoyaki - Taguig,Takoyaki,5.0,2680,Taguig City,True,5.0
a1fk,Mama Valenciana - Greenhills,Filipino,5.0,233,San Juan,True,5.0
a1iu,The Kitchen Noypi - Quezon,Filipino,0.0,0,Quezon City,False,
a1ji,Ate Mar Kambingan - C P Garcia Highway,Filipino,4.9,1478,Davao City Davao Del Sur,True,4.9
a1li,High Tea - San Miguel,Milk Tea,5.0,1039,Manila,True,5.0
a1ow,Taho Klasiko - Mandaluyong,Desserts,5.0,107,Mandaluyong City,True,5.0
a1rz,Ross & Brew - Malolos,Milk Tea,5.0,279,Malolos Bulacan,True,5.0
a1tb,Yunah's Lechon Belly House - Pasay,Lechon,5.0,44,Pasay City,True,5.0
a1w2,J.CO Donuts & Coffee - Trinoma Mall,Donut,5.0,1607,Quezon City,True,5.0
a1xp,Driptea - Basak,Milk Tea,5.0,88,Lapu-Lapu City Cebu,True,5.0
a1y2,Marugame Udon - Robinsons Galleria,Japanese,5.0,951,Quezon City,True,5.0
a272,Avocadoria.ph - SM Mall of Asia,Desserts,0.0,0,Pasay City,False,
a29q,Ai - Ai Milktea Station - Country Homes Cabantian,Asian,4.9,61,Davao City Davao Del Sur,True,4.9
a29q,Ai Ai Milktea Station - Communal,Asian,4.9,57,Davao City Davao Del Sur,True,4.9
a2aj,Sisig Hooray - The Marketplace Shopping Mall,Sisig,4.9,220,Mandaluyong City,True,4.9
a2bg,The Mouthstash - Catalunan Pequeño,American,5.0,419,Davao City Davao Del Sur,True,5.0
a2bs,Cafe France - UERM,Sandwiches,4.9,74,Quezon City,True,4.9
a2ds,"Pizzeria, Pasta, Burgers, Sushi & Sweets by Chef Jessie",Sushi,4.8,518,Manila,True,4.8
a2ds,Jessie's Sushi - Biak na Bato,Sushi,4.8,518,Manila,True,4.8
a2f6,Mango Delight - Elias Street,Milk Tea,5.0,419,Manila,True,5.0
a2fg,Tom N Toms Coffee - Gaisano Island Mactan,Coffee,5.0,607,Lapu-Lapu City Cebu,True,5.0
a2fx,Crunch Time - N. Garcia,Fried Chicken,5.0,536,Makati City,True,5.0
a2i5,Ann G. Samgyupsal & Korean Food Product Trading - Santa Lucia,Ulam,0.0,0,Quezon City,False,
a2ih,Sugbahan - Elizabeth Mall,Fish,4.8,190,Cebu City,True,4.8
a2is,King Sisig - Shaw Boulevard,Sisig,5.0,733,Mandaluyong City,True,5.0
a2jd,Ribshack - SM City Cebu,Unknown,5.0,2095,Cebu City,True,5.0
a2jn,Nonki Japanese Restaurant - AutoVille Building,Japanese,5.0,488,Davao City Davao Del Sur,True,5.0
a2lm,Pizza Hut - Vista Mall Malolos,Pizza,5.0,1063,Malolos Bulacan,True,5.0
a2n2,Sip Up Coffee- Ususan Taguig City,Asian,0.0,0,Taguig City,False,
a2oh,Mango Magic - Robinsons Place Ormoc,Fruit Shake,5.0,658,Ormoc Leyte,True,5.0
a2pe,Ihaw ay Akin - Makati,Fast Food,4.8,186,Makati City,True,4.8
a2pw,The Original Pares Mami House - Amoranto,Filipino,5.0,13252,Quezon City,True,5.0
a2uw,Rita's Pancit Ng Taga Malabon - Ever Commonwealth,Noodles,0.0,0,Quezon City,False,
a2uz,"Baked Sushi, Wings, Italian Pizza & Cakes The Crave Café",Sushi,4.9,110,Manila,True,4.9
a2uz,Mr. Baked Sushi - Biak na Bato,Sushi,4.9,110,Manila,True,4.9
a2w1,Patty's Bakeshop - Colon Street 2,Bread,4.9,209,Cebu City,True,4.9
a2wr,Melton's Halo-Halo - Tabura Street,Halo-Halo,5.0,863,Cebu City,True,5.0
a2yl,Teriyaki Boy - C5 Heritage,Japanese,4.9,18,Taguig City,True,4.9
a300,Ihaw ay Akin - Pasig,Filipino,4.9,239,Pasig City,True,4.9
a308,Kosturiangel Restaurant Halal - Banawe,Indian,5.0,138,Quezon City,True,5.0
a312,HWKR in AbacaEats - Vista Mar Mactan,Asian,0.0,0,Lapu-Lapu City Cebu,False,
a336,Chicken Frontyard - Lahug,Asian,3.1,13,Cebu City,True,3.1
a33k,King Chef - West Avenue,Chinese,5.0,13,Quezon City,True,5.0
a34z,Saing Cafe - Villamor,Filipino,0.0,0,Manila,False,
a37k,Caffeena - Taft,Coffee,3.9,12,Manila,True,3.9
a39b,Jasmine - New World Hotel,Chinese,5.0,47,Makati City,True,5.0
a3af,Armenia’s Breads Cakes and Pastries - MacArthur Highway,Cakes,5.0,63,Malolos Bulacan,True,5.0
a3ah,Steamed Rice and Lamaw Ta Bai! - Banilad,Asian,4.8,286,Cebu City,True,4.8
a3dh,Old Saigon - Yakal,Asian,4.9,16,Makati City,True,4.9
a3ef,Jamba - SM Megamall,Beverages,5.0,278,Mandaluyong City,True,5.0
a3f6,Grateatude - Comembo,Beverages,4.9,148,Makati City,True,4.9
a3gc,Hen Lin - Diliman,Chinese,5.0,293,Quezon City,True,5.0
a3gr,K-Egg - Cybergate Cebu,Sandwiches,4.9,62,Cebu City,True,4.9
a3hr,Miguelito's Avocado Locco - SM City East,Ice Cream,5.0,241,Pasig City,True,5.0
a3ir,Brewkadahan Cafe,Filipino,0.0,0,Manila,False,
a3n2,Big Boks - Marikina,Chicken,0.0,0,Marikina,False,
a3rv,Thai Dara - Pioneer Center,Thai,5.0,492,Pasig City,True,5.0
a3t1,MARUNISHI JAPANESE RAMEN,Japanese,0.0,0,Manila,False,
a3yu,Serenitea - Estancia Mall,Milk Tea,5.0,910,Pasig City,True,5.0
a44p,Scout's Honor - Public Eatery,Desserts,4.9,11,Quezon City,True,4.9
a45v,Cookies n' Dream - Lapu-Lapu City,Cakes,5.0,316,Lapu-Lapu City Cebu,True,5.0
a46d,Buko Express - WMall Macapagal,Fruit Shake,5.0,12,Pasay City,True,5.0
a47s,Maboy's Food House - Talamban,Filipino,5.0,170,Cebu City,True,5.0
a4bn,Breakfast Club - Pasig,Filipino,5.0,1547,Pasig City,True,5.0
a4dd,Ben's Cookies - Mall of Asia,Desserts,5.0,87,Pasay City,True,5.0
a4lb,KFC - Ayala Cebu 2,Fast Food,5.0,3119,Cebu City,True,5.0
a4ml,Paik's Coffee - BGC,Beverages,5.0,12,Taguig City,True,5.0
a4pv,Serenitea - Victoria Plaza,Milk Tea,5.0,1238,Davao City Davao Del Sur,True,5.0
a4rt,Mang Inasal - Ayala Arvo,Chicken,5.0,4445,Marikina,True,5.0
a4z4,Lorenzo's Cafe - Junquera,Coffee,5.0,11,Cebu City,True,5.0
a5cf,Sam Janella's Ihaw Ihaw House - Pasay,Filipino,4.8,382,Makati City,True,4.8
a5cs,Mamay's Tapsilogan - Albina,Filipino,4.9,807,Manila,True,4.9
a5hg,Earl of Sandwich - Estancia Mall,Sandwiches,5.0,168,Pasig City,True,5.0
a5jw,Teng-Teng Panciteria - Tañong Marikina,Filipino,5.0,2790,Marikina,True,5.0
a5ku,Italianni's - Robinsons Magnolia,Italian,0.0,0,Quezon City,False,
a5r3,Bibingkinitan - SM San Lazaro,Desserts,5.0,73,Manila,True,5.0
a5tb,Flavor Impact - Diliman,Asian,4.9,39,Quezon City,True,4.9
a5v4,Watami - Conrad,Japanese,0.0,0,Pasay City,False,
a5va,PICKUP COFFEE - Ayala Mall Feliz,Coffee,5.0,46,Pasig City,True,5.0
a5xm,Boba Ka Tea - Holy Spirit,Beverages,4.9,227,Quezon City,True,4.9
a61g,Sugar Buddies - Mactan Town Center,Coffee,0.0,0,Lapu-Lapu City Cebu,False,
a63o,M- Food Hub - The Manila Residences Tower II,Fast Food,4.9,49,Manila,True,4.9
a64p,Pasta Italliana - Biak na Bato,Pasta,5.0,433,Manila,True,5.0
a64t,Cafe del Pasig - One Victoria Plaza and Bazaar,Coffee,0.0,0,Pasig City,False,
a68i,Frankie's New York Buffalo Wings - Robinsons Place Manila,Chicken Wings,5.0,216,Manila,True,5.0
a6a5,Pop's & Marb's Silogan - B Aranas Extension,Silog,4.8,14,Cebu City,True,4.8
a6cs,Cobo Tea - Ayala Center Cebu,Milk Tea,5.0,1101,Cebu City,True,5.0
a6dd,D' Original Pares - Pasig,Filipino,5.0,3346,Pasig City,True,5.0
a6lz,Nono's - Uptown Mall,Sandwiches,5.0,87,Taguig City,True,5.0
a6n7,Terry's Bistro - Molito Lifestyle Center,Filipino,4.9,13,Muntinlupa City,True,4.9
a6nk,Don Benito's - Taguig,Cakes,5.0,497,Taguig City,True,5.0
a6nw,Rackuz Home of the Best Crispy Pata - Camarilla,Filipino,5.0,1122,Quezon City,True,5.0
a6ou,Takam - Alabang Zapote Road,Filipino,5.0,109,Muntinlupa City,True,5.0
a6qe,Tiger Winx - UST,Chicken,5.0,2392,Manila,True,5.0
a6si,Libertea Milktea -  Emerald Avenue,Milk Tea,5.0,188,Pasig City,True,5.0
a6tk,CCYG Chung Choon Yeon Ga 청춘연가 - Malate,Korean,5.0,608,Manila,True,5.0
a6wb,Kapwerte Cafe,Coffee,0.0,0,Marikina,False,
a6wy,Potato Corner - Newport Mall Resorts World Manila,Fries,4.9,65,Pasay City,True,4.9
a6zl,Bambino's Kitchen - Sun Valley,Filipino,5.0,11,Cebu City,True,5.0
a713,Wow Shawarma P.Campa-Delos Reyes,Shawarma,4.9,12,Manila,True,4.9
a76f,Cheers Minimart and Food - DRB Building,Rice Dishes,0.0,0,Quezon City,False,
a7bt,May Abohan - Gaisano Capital SRP,Filipino,5.0,391,Cebu City,True,5.0
a7bw,Bully Buffalo - Recto,Rice Dishes,4.9,15,Manila,True,4.9
a7fr,Lawson Cup & Go - Reach,Coffee,4.9,40,Pasay City,True,4.9
a7ix,Bacolod House - Bago Bantay,American,4.9,815,Quezon City,True,4.9
a7js,The Meating Place Korean BBQ Grill Co - Sandoval Ave.,Japanese,4.9,260,Pasig City,True,4.9
a7lj,Dad'z Food Hub - Belleza Street,Takoyaki,0.0,0,Cebu City,False,
a7md,I Love Milktea - Mendiola,Milk Tea,4.8,58,Manila,True,4.8
a7tc,CUPS - Diliman,Coffee,0.0,0,Quezon City,False,
a7tv,MANNA Food From Heaven - Regalado Avenue,Chicken Wings,4.9,42,Quezon City,True,4.9
a7ut,Foe Food Station - Metro Bank Avenue,Siomai,0.0,0,Pasay City,False,
a7xd,Pizzatalk - Greenville Commercial Building,Pizza,5.0,504,Taguig City,True,5.0
a7xr,Ice Tag Cafe - Sobrecary,Milk Tea,5.0,1602,Davao City Davao Del Sur,True,5.0
a7zn,Andy's Famous Batangas Lomi & Bulalo - Kaunlaran Street,Filipino,5.0,789,Marikina,True,5.0
a8a9,Uncle Brew - Prime Pardo,Coffee,5.0,20,Cebu City,True,5.0
a8ax,Cafe 2.0 - Mandaluyong,Beverages,4.8,64,Mandaluyong City,True,4.8
a8dj,Master Gaw 24/7 - Fairview QC,Chicken,5.0,123,Quezon City,True,5.0
a8ii,KFC - Marbel,Fast Food,5.0,3890,Koronadal South Cotabato,True,5.0
a8ks,Taco Bo's Deluxe,Shawarma,4.8,37,Lapu-Lapu City Cebu,True,4.8
a8m4,Primo’s Unlimited Bucket Wings - Comembo,Chicken Wings,0.0,0,Taguig City,False,
a8rg,Siomai House - Ayala Malls Feliz,Siomai,5.0,107,Pasig City,True,5.0
a8sp,Taylor's Play Cafe - Circulo Verde,Beverages,0.0,0,Quezon City,False,
a8u0,Choi Garden - Annapolis,Chinese,0.0,0,San Juan,False,
a8ub,Modern Shanghai - My South Hall,Chinese,0.0,0,Pasay City,False,
a8vo,Bros Ribs And Steaks Corner - Tahimik Avenue,Filipino,4.7,455,Davao City Davao Del Sur,True,4.7
a8vp,Chang Tea - Mabini,Milk Tea,5.0,499,Valencia Bukidnon,True,5.0
a8xf,Chowking - San Pedro,Fast Food,4.9,4642,Davao City Davao Del Sur,True,4.9
a8z7,Keto Filipino,Unknown,0.0,0,Quezon City,False,
a8za,Baga Burger - Tumana Marikina,Burgers,5.0,97,Marikina,True,5.0
a8ze,Aling Banang This Is It Pancit! - Nagtahan,Asian,5.0,6304,Manila,True,5.0
a90r,Palamilk Tea - Laong Laan Road,Milk Tea,5.0,199,Manila,True,5.0
a92y,24 Chicken - Gensan Drive,Fried Chicken,5.0,1460,Koronadal South Cotabato,True,5.0
a935,3M's Food Hub - Buhangin,Korean,5.0,152,Davao City Davao Del Sur,True,5.0
a93d,Great Greens: Salads & Grains - Marikina Heights,Salads,5.0,464,Marikina,True,5.0
a93z,Pad Thai Goong - Escario Street,Thai,4.9,246,Cebu City,True,4.9
a9ap,Infinitea - N Domingo,Milk Tea,4.9,158,San Juan,True,4.9
a9bj,Breakfast Club - Salcedo,Filipino,5.0,541,Makati City,True,5.0
a9jh,Chick Boy - Arellano Street,Chicken Wings,4.9,418,Koronadal South Cotabato,True,4.9
a9ko,Ala Arozzcaldo - Abad Santos,Korean,5.0,152,Koronadal South Cotabato,True,5.0
a9l9,Boiling Shrimp Hauz - Basak,Filipino,5.0,272,Lapu-Lapu City Cebu,True,5.0
a9of,Baked Puff - SM NORTH,Desserts,0.0,0,Quezon City,False,
a9s1,Krazy Garlik - One Ayala,Asian,0.0,0,Makati City,False,
a9uo,Caffe Angelito Coffee and Juice Bar - Tapuac,Pizza,5.0,200,Dagupan Pangasinan,True,5.0
aa4l,Egg Bomb - Unlad Condominium,Korean,5.0,1519,Manila,True,5.0
aa82,Ala Eh! Batangas Lomi at Pares - P. Campa,Lomi,4.6,259,Manila,True,4.6
aaao,Bamboo Cafe PH,Beverages,5.0,42,Marikina,True,5.0
aac3,J&G Fried Chicken and Gong cha - Estancia,Fried Chicken,5.0,152,Pasig City,True,5.0
aadc,Hotbox PH Self-heating Food Box,Filipino,4.8,23,Makati City,True,4.8
aaju,Ate Rica's Bacsilog - Ayala Malls Marikina,Silog,5.0,86,Marikina,True,5.0
aams,Iced Earth - JP Laurel Avenue,Ice Cream,0.0,0,Davao City Davao Del Sur,False,
aaq5,Type A Coffee - Sheridan,Coffee,0.0,0,Mandaluyong City,False,
aaql,Mr Shaw Shawarma - Susano,Shawarma,0.0,0,Quezon City,False,
aawo,Magoo's Pizza - Q Plaza,Pizza,5.0,77,Makati City,True,5.0
ab1h,KYUKYU RAMEN 99 - Fairview Terraces,Ramen,5.0,207,Quezon City,True,5.0
ab8v,Chicken Star - General Avenue,Fried Chicken,4.7,401,Quezon City,True,4.7
aba0,Torisho - SM North Edsa,Ramen,0.0,0,Quezon City,False,
abeh,Conti's Bakeshop and Restaurant - Westgate Alabang,Cakes,5.0,286,Muntinlupa City,True,5.0
abhu,CHN CAFE MAKATI,Coffee,0.0,0,Makati City,False,
abkj,Mang Binatog - Robinsons Place Manila,Filipino,5.0,162,Manila,True,5.0
